,episode_running_mean_list,episode_list,frame_count_list
0,-192.48977085664768,55.0,5000.0
1,-142.60749769654777,110.0,10000.0
2,-187.92964646214554,162.0,15000.0
3,-143.00211914574317,215.0,20000.0
4,-125.61255053981817,268.0,25000.0
5,-128.1371439189158,324.0,30000.0
6,-132.37208249613872,379.0,35000.0
7,-152.36584987157715,434.0,40000.0
8,-131.55889257633515,485.0,45000.0
9,-141.70054180417372,539.0,50000.0
10,-158.3788623510349,590.0,55000.0
11,-133.5246406133093,611.0,60000.0
12,-160.39154013141672,611.0,65000.0
13,-184.62739779612716,611.0,70000.0
14,-209.13062781849482,611.0,75000.0
15,-234.71314516983776,611.0,80000.0
16,-255.60032196423154,625.0,85000.0
17,-91.09584014483674,680.0,90000.0
18,-103.59286857935838,730.0,95000.0
19,-87.95240036099003,782.0,100000.0
20,-96.55946857743405,837.0,105000.0
21,-106.39312129526793,887.0,110000.0
22,-83.8394558647354,937.0,115000.0
23,-92.82865447289612,987.0,120000.0
24,-93.52155914477024,1037.0,125000.0
25,-88.754232110209,1089.0,130000.0
26,-99.40523118818966,1139.0,135000.0
27,-85.45813918284098,1189.0,140000.0
28,-93.92523616790156,1241.0,145000.0
29,-88.94083383177029,1294.0,150000.0
30,-90.5660525716317,1343.0,155000.0
31,-84.83678424962162,1394.0,160000.0
32,-84.18501907362176,1443.0,165000.0
33,-63.0419039688468,1494.0,170000.0
34,-90.72893544438922,1546.0,175000.0
35,-64.36815119008426,1598.0,180000.0
36,-73.47061556643551,1637.0,185000.0
37,-66.57826367151992,1686.0,190000.0
38,-60.236759621019004,1736.0,195000.0
39,-66.17414284623706,1785.0,200000.0
40,-57.60889569286453,1834.0,205000.0
41,-74.8880331883702,1864.0,210000.0
42,-63.22224195971255,1913.0,215000.0
43,-37.65897460498596,1959.0,220000.0
44,-51.90840998907456,2009.0,225000.0
45,-47.91142511808166,2058.0,230000.0
46,-52.745327987073495,2105.0,235000.0
47,-40.91364341403134,2153.0,240000.0
48,-44.06868889307292,2190.0,245000.0
49,-37.263192155688685,2236.0,250000.0
50,-37.94750878694568,2285.0,255000.0
51,-39.770164434252166,2333.0,260000.0
52,-32.651315689887525,2380.0,265000.0
53,-54.09761931883206,2380.0,270000.0
54,-72.65193188615044,2380.0,275000.0
55,-91.17258413511841,2380.0,280000.0
56,-110.22643374075673,2380.0,285000.0
57,-130.98829571693096,2380.0,290000.0
58,-152.9087645118477,2380.0,295000.0
59,-177.54902777911488,2380.0,300000.0
60,-204.94264534434768,2380.0,305000.0
61,-229.3745968775857,2380.0,310000.0
62,-257.29114379531404,2380.0,315000.0
63,-282.1173809505677,2380.0,320000.0
64,-305.3163010168646,2380.0,325000.0
65,-328.5458219878294,2380.0,330000.0
66,-29.019080412380323,2401.0,335000.0
67,-39.16624208073684,2406.0,340000.0
68,-59.30784574227171,2406.0,345000.0
69,-81.80527110958289,2406.0,350000.0
70,-103.25133345755384,2406.0,355000.0
71,-125.15540234990824,2406.0,360000.0
72,-153.72254270282988,2406.0,365000.0
73,-181.43295578112557,2406.0,370000.0
74,-238.34587594555524,2408.0,375000.0
75,-116.57178390768699,2430.0,380000.0
76,-157.36622620305522,2448.0,385000.0
77,-139.04457567071745,2479.0,390000.0
78,-156.90614873458043,2508.0,395000.0
79,-108.01406663798373,2537.0,400000.0
80,-133.0203391169412,2540.0,405000.0
81,-171.1722595213766,2540.0,410000.0
82,-207.44517108318033,2542.0,415000.0
83,-241.73077605996923,2544.0,420000.0
84,-268.7905094152401,2547.0,425000.0
85,-298.48922412550934,2548.0,430000.0
86,-322.955343374501,2548.0,435000.0
87,-347.3210676128178,2548.0,440000.0
88,-360.034158680873,2548.0,445000.0
89,-368.7353284009091,2548.0,450000.0
90,-351.27119656039827,2550.0,455000.0
91,-339.7782731922716,2551.0,460000.0
92,-302.7123534266025,2555.0,465000.0
93,-150.22225888690812,2561.0,470000.0
94,-91.77942450908323,2563.0,475000.0
95,-2.853480259870666,2567.0,480000.0
96,-26.154720950241092,2567.0,485000.0
97,68.44205895373895,2570.0,490000.0
98,56.30057716634839,2571.0,495000.0
99,44.81688135912337,2577.0,500000.0
100,25.36018752882803,2578.0,505000.0
101,-31.181015640724667,2584.0,510000.0
102,-81.93184206948465,2593.0,515000.0
103,-94.73011186209638,2607.0,520000.0
104,-95.21868615438017,2615.0,525000.0
105,-44.10153527465518,2621.0,530000.0
106,50.19339967603275,2629.0,535000.0
107,109.46419124939175,2641.0,540000.0
108,81.91512753316283,2648.0,545000.0
109,72.35499452196225,2659.0,550000.0
110,106.26755927853196,2667.0,555000.0
111,134.66488609707085,2675.0,560000.0
112,167.00675024371233,2683.0,565000.0
113,138.92135712624625,2695.0,570000.0
114,110.69183147135479,2703.0,575000.0
115,118.06348658158547,2715.0,580000.0
116,111.94954058979575,2721.0,585000.0
117,114.42371270533383,2733.0,590000.0
118,86.74439808430961,2744.0,595000.0
119,63.05228150667963,2751.0,600000.0
120,120.09693680133212,2762.0,605000.0
121,151.06244567762647,2776.0,610000.0
122,147.02932943120504,2789.0,615000.0
123,134.40473887794212,2805.0,620000.0
124,148.9146334619913,2815.0,625000.0
125,136.79606189470422,2826.0,630000.0
126,129.15380943379637,2842.0,635000.0
127,136.51264493446075,2858.0,640000.0
128,199.41370628632077,2872.0,645000.0
129,155.38988662690448,2890.0,650000.0
130,166.78075441653726,2909.0,655000.0
131,144.331298755242,2930.0,660000.0
132,130.90585999433108,2941.0,665000.0
133,135.24879052643848,2961.0,670000.0
134,128.66234428341193,2967.0,675000.0
135,163.063514413375,2981.0,680000.0
136,205.31755483113324,2994.0,685000.0
137,97.06470906271612,3012.0,690000.0
138,174.2485933244215,3022.0,695000.0
139,142.58803956126764,3038.0,700000.0
140,86.5629076340036,3042.0,705000.0
141,76.73874229324016,3047.0,710000.0
142,60.91746034253397,3058.0,715000.0
143,138.57950025240277,3071.0,720000.0
144,150.36169923692836,3082.0,725000.0
145,179.31761609920284,3092.0,730000.0
146,167.33235849983183,3099.0,735000.0
147,169.79961289308386,3108.0,740000.0
148,197.1631254762022,3120.0,745000.0
149,181.06622822336448,3126.0,750000.0
150,154.0635662344746,3140.0,755000.0
151,184.2394865119051,3151.0,760000.0
152,212.546446137993,3163.0,765000.0
153,191.08778709772793,3177.0,770000.0
154,167.922977257186,3180.0,775000.0
155,159.9030424371103,3185.0,780000.0
156,129.41302171563154,3186.0,785000.0
157,88.45086616069125,3187.0,790000.0
158,42.28538291028427,3187.0,795000.0
159,-1.8692776459571632,3187.0,800000.0
160,-46.138924890068395,3187.0,805000.0
161,-90.6596463566656,3187.0,810000.0
162,-143.60323774610373,3195.0,815000.0
163,-187.19368205853735,3204.0,820000.0
164,128.73783506455942,3214.0,825000.0
165,195.65380760662595,3227.0,830000.0
166,184.99812974057068,3244.0,835000.0
167,134.76445279007146,3265.0,840000.0
168,158.84209083792268,3281.0,845000.0
169,181.48212305874816,3293.0,850000.0
170,143.91800234319203,3299.0,855000.0
171,99.5935255286266,3312.0,860000.0
172,163.2368917220263,3339.0,865000.0
173,163.4428957655246,3360.0,870000.0
174,174.6241785926014,3377.0,875000.0
175,123.43039877944227,3400.0,880000.0
176,107.27256430124865,3422.0,885000.0
177,109.34343236155419,3447.0,890000.0
178,62.1111299601276,3476.0,895000.0
179,100.08025843064812,3497.0,900000.0
180,125.05740709604488,3505.0,905000.0
181,149.43106226122433,3521.0,910000.0
182,203.06788083432886,3536.0,915000.0
183,155.34563000201985,3554.0,920000.0
184,116.1750093671687,3577.0,925000.0
185,30.918773279546617,3613.0,930000.0
186,52.946510219287745,3643.0,935000.0
187,75.65049927032314,3667.0,940000.0
188,122.45304795351458,3684.0,945000.0
189,94.59053210930843,3708.0,950000.0
190,69.08989546349312,3737.0,955000.0
191,72.83015095593305,3769.0,960000.0
192,119.21642483956643,3792.0,965000.0
193,114.10365645419986,3805.0,970000.0
194,102.1304043985263,3814.0,975000.0
195,96.53575578461567,3841.0,980000.0
196,83.11877074422958,3868.0,985000.0
197,64.86628695626658,3902.0,990000.0
198,23.49048297415502,3940.0,995000.0
199,80.02168105208881,3969.0,1000000.0
